ActionAffinity/&DHFeeblemindSpellDescription	unable to cast spells
CraftyFeats/&CraftyFletcherFeatDescription	+1 Dexterity, Proficiency or Expertise with Smith's Tools, Proficiency with bows and crossbows
CraftyFeats/&CraftyFletcherFeatTitle	Fletcher
CraftyFeats/&CraftyHerbalismKitDescription	Herbalism Kit proficiency or expertise
CraftyFeats/&CraftyMedicineDescription	Medicine proficiency or expertise
CraftyFeats/&CraftyNatureDescription	Nature proficiency or expertise
CraftyFeats/&CraftyScribeFeatDescription	+1 Intelligence, Proficiency or Expertise with Scroll Kit and Arcana, Requires the ability to cast spells
CraftyFeats/&CraftyScribeFeatTitle	Scribe
CraftyFeats/&CraftySkillsTitle	Skills
CraftyFeats/&CraftyToolsTitle	Tools
CraftyFeats/&ManacalonCrafterFeatDescription	+1 Intelligence, Proficiency or Expertise with Manacalon Rosary and Arcana, Requires the ability to cast spells
CraftyFeats/&ManacalonCrafterFeatTitle	Manacalon Crafter
CraftyFeats/&ToxicologistIntFeatDescription	+1 Intelligence, Proficiency or Expertise with Poisoner's Kit and Nature
CraftyFeats/&ToxicologistIntFeatTitle	Toxicologist (Intelligence)
CraftyFeats/&ToxicologistWisFeatDescription	+1 Wisdom, Proficiency or Expertise with Poisoner's Kit and Medicine
CraftyFeats/&ToxicologistWisFeatTitle	Toxicologist (Wisdom)
Sorceror/&ZSSorcerousRestorationDescription	Regain 4 sorcery points during a short rest.
Sorceror/&ZSSorcerousRestorationTitle	Sorcerous Restoration
Spell/&CJDivineWordDescription	You utter a divine word, imbued with the power that shaped the world at the dawn of creation. Choose any number of creatures you can see within range. Each creature that can hear you must make a Charisma saving throw. On a failed save, a creature suffers an effect based on its current hit points:\n50 hit points or fewer: deafened for 1 minute\n40 hit points or fewer: deafened and blinded for 10 minutes\n30 hit points or fewer: blinded, deafened, and stunned for 1 hour\n20 hit points or fewer: killed instantly\nRegardless of its current hit points, a celestial, an elemental, a fey, or a fiend that fails its save is forced back to its plane of origin (if it isn’t there already) and can’t return to your current plane for 24 hours by any means short of a wish spell.\n
Spell/&CJDivineWordTitle	Divine Word
Spell/&DHAnimalShapesSpellDescription	Choose any number of willing creatures that you can see within range. You transform each target into the form of a Large or smaller beast with a challenge rating of 4 or lower.
Spell/&DHAnimalShapesSpellTitle	Animal shapes
Spell/&DHConjureCelestialSpellDescription	You summon a celestial of challenge rating 4 or lower, which appears in an unoccupied space that you can see within range. The celestial disappears when it drops to 0 hit points or when the spell ends. The celestial is friendly to you and your companions for the duration.
Spell/&DHConjureCelestialSpellTitle	Conjure Celestial (Couatl)
Spell/&DHDominateMonsterSpellDescription	You attempt to beguile a creature that you can see within range. It must succeed on a Wisdom saving throw or be charmed by you for the duration.
Spell/&DHDominateMonsterSpellTitle	Dominate Monster
Spell/&DHFeeblemindSpellDescription	You blast the mind of a creature that you can see within range, attempting to shatter its intellect and personality. The target takes 4d6 psychic damage and must make an Intelligence saving throw.On a failed save, the creature's Intelligence and Charisma scores become 1. The creature can't cast spells, activate magic items, understand language, or communicate in any intelligible way.
Spell/&DHFeeblemindSpellTitle	Feeblemind
Spell/&DHFingerOfDeathSpellDescription	The target must make a Constitution saving throw. It takes 7d8 + 30 necrotic damage on a failed save, or half as much damage on a successful one.
Spell/&DHFingerOfDeathSpellTitle	Finger of Death (No Zombie)
Spell/&DHForesightSpellDescription	You touch a willing creature and bestow a limited ability to see into the immediate future. For the duration, the target can't be surprised and has advantage on attack rolls, ability checks, and saving throws. Additionally, other creatures have disadvantage on attack rolls against the target for the duration.
Spell/&DHForesightSpellTitle	Foresight
Spell/&DHHolyAuraSpellDescription	Divine light washes out from you and coalesces in a soft radiance in a 30-foot radius around you. Creatures of your choice in that radius when you cast this spell shed dim light in a 5-foot radius and have advantage on all saving throws, and other creatures have disadvantage on attack rolls against them until the spell ends.
Spell/&DHHolyAuraSpellTitle	Holy Aura
Spell/&DHIncendiaryCloudSpellDescription	A swirling cloud of smoke shot through with white-hot embers appears in a 20-foot-radius sphere centered on a point within range. The cloud spreads around corners and is heavily obscured. It lasts for the duration or until a wind of moderate or greater speed (at least 10 miles per hour) disperses it.When the cloud appears, each creature in it must make a Dexterity saving throw. A creature takes 10d8 fire damage on a failed save, or half as much damage on a successful one. A creature must also make this saving throw when it enters the spell's area for the first time on a turn or ends its turn there.The cloud moves 10 feet directly away from you in a direction that you choose at the start of each of your turns.
Spell/&DHIncendiaryCloudSpellTitle	Incendiary Cloud
Spell/&DHMassHealSpellDescription	A flood of healing energy flows from you into injured creatures around you. You restore up to 700 hit points, divided as you choose among any number of creatures that you can see within range. Creatures healed by this spell are also cured of all diseases and any effect making them blinded or deafened. This spell has no effect on undead or constructs.
Spell/&DHMassHealSpellTitle	Mass Heal
Spell/&DHMazeSpellDescription	You banish a creature that you can see within range into a labyrinthine demiplane. The target remains there for the duration or until it escapes the maze. /nThe target can use its action to attempt to escape. When it does so, it makes a DC 20 Intelligence check.
Spell/&DHMazeSpellTitle	Maze
Spell/&DHMeteorSwarmSingleTargetSpellDescription	Blazing orbs of fire plummet to the ground at a single point you can see within range. Each creature in a 40-foot-radius sphere centered on the point you choose must make a Dexterity saving throw. The sphere spreads around corners. A creature takes 20d6 fire damage and 20d6 bludgeoning damage on a failed save, or half as much damage on a successful one. A creature in the area of more than one fiery burst is affected only once..
Spell/&DHMeteorSwarmSingleTargetSpellTitle	Meteor Swarm (Single Target)
Spell/&DHMindBlankSpellDescription	Until the spell ends, one willing creature you touch is immune to psychic damage, any effect that would sense its emotions or read its thoughts, divination spells, and the charmed condition.
Spell/&DHMindBlankSpellTitle	Mind Blank
Spell/&DHPowerWordHealSpellDescription	A wave of healing energy washes over the creature you touch. The target regains all its hit points. If the creature is charmed, frightened, paralyzed, or stunned, the condition ends. If the creature is prone, it can use its reaction to stand up. This spell has no effect on undead or constructs.
Spell/&DHPowerWordHealSpellTitle	Power Word Heal
Spell/&DHPowerWordKillSpellDescription	You utter a word of power that can compel one creature you can see within range to die instantly. If the creature you choose has 100 hit points or fewer, it dies. Otherwise, the spell has no effect.
Spell/&DHPowerWordKillSpellTitle	Power Word Kill
Spell/&DHPowerWordStunSpellDescription	You speak a word of power that can overwhelm the mind of one creature you can see within range, leaving it dumbfounded. If the target has 150 hit points or fewer, it is stunned. Otherwise, the spell has no effect.
Spell/&DHPowerWordStunSpellTitle	Power Word Stun
Spell/&DHReverseGravitySpellDescription	This spell reverses gravity in a 50-foot-radius, 100-foot-high cylinder centered on a point within range.
Spell/&DHReverseGravitySpellTitle	Reverse Gravity
Spell/&DHShapechangeSpellDescription	You assume the form of a different creature for the duration. The new form can be of any creature with a challenge rating equal to your level or lower.
Spell/&DHShapechangeSpellTitle	Shapechange
Spell/&DHSunBurstSpellDescription	Brilliant sunlight flashes in a 60-foot radius centered on a point you choose within range. Each creature in that light must make a Constitution saving throw. On a failed save, a creature takes 12d6 radiant damage and is blinded for 1 minute. On a successful save, it takes half as much damage and isn't blinded by this spell. Undead and oozes have disadvantage on this saving throw.A creature blinded by this spell makes another Constitution saving throw at the end of each of its turns. On a successful save, it is no longer blinded.This spell dispels any darkness in its area that was created by a spell.
Spell/&DHSunBurstSpellTitle	Sunburst
Spell/&DHTimeStopSpellDescription	You briefly stop the flow of time for everyone but yourself. No time passes for other creatures, while you take 1d4 + 1 turns in a row, during which you can use actions and move as normal.
Spell/&DHTimeStopSpellTitle	Time Stop
Spell/&DHWeirdSpellDescription	Drawing on the deepest fears of a group of creatures, you create illusory creatures in their minds, visible only to them. Each creature in a 30-foot-radius sphere centered on a point of your choice within range must make a Wisdom saving throw. On a failed save, a creature becomes frightened for the duration. The illusion calls on the creature's deepest fears, manifesting its worst nightmares as an implacable threat. At the end of each of the frightened creature's turns, it must succeed on a Wisdom saving throw or take 4d10 psychic damage. On a successful save, the spell ends for that creature.
Spell/&DHWeirdSpellTitle	Weird
Spell/&EldritchOrbDescription	You fling a ball of eldritch energy at a creature or object within range.
Spell/&EldritchOrbTitle	Eldritch Orb
Spell/&FindFamiliarDescription	You gain the service of a familiar.
Spell/&FindFamiliarTitle	Find Familiar
Spell/&FrenzyDescription	With a gesture, you reduce a crowd to base instinct and violence. Choose a point you can see within range. Each creature within 20 feet of that point must make a Wisdom saving throw. On a failed save, a creature is frenzied for the duration. When a creature is frenzied, it draws a melee weapon, if it has one. A frenzied creature must use its action at the beginning of its turn to attack a creature within its reach. It uses a melee weapon, if it has one, or an improvised weapon or unarmed strike, if it doesn't. If multiple targets are within the creature's reach, it chooses its target randomly. If there is no target within the creature's reach, it attacks itself, against its own AC, dealing damage as normal on a hit. At the end of its turn, a frenzied creature can repeat its saving throw, ending the effect on it early on a success.
Spell/&FrenzyTitle	Frenzy
Spell/&IPConjureInvisibleStalker	Conjure Invisible Stalker
Spell/&MinorLifestealDescription	You drain life energy from a hostile creature you can see within range. You then gain temporary hit points equal to the amount of damage dealt, which lasts until you finish a long rest. This spell has no effect on undead or constructs.
Spell/&MinorLifestealTitle	Minor Lifesteal
Spell/&PetalStormDescription	Choose an unoccupied 15-foot cube of air that you can see within range. An elemental force of swirling winds appears in the cube and lasts for the spell's duration. The cloud heavily obscures its area. Any creature that enters the storm for the first time on a turn or starts its turn there must make a Strength saving throw. On a failed save, the creature takes 3d4 slashing damage. As a bonus action, you can move the storm up to 30 feet in any direction.
Spell/&PetalStormTitle	Petal Storm
Spell/&ProtectThresholdDescription	Tracing arcane sigils along its boundary, you can ward a doorway, window, or other portal from entry. For the duration, an invisible eldritch creature stalks the warded portal. Any creature that attempts to pass through the portal must make a Wisdom saving throw or take 4d6 psychic damage, or half as much on a successful save.
Spell/&ProtectThresholdTitle	Protect Threshold
Spell/&WitchFamiliarDescription	You gain the service of a familiar.
Spell/&WitchFamiliarTitle	Witch Familiar
SpellList/&SpellListTinkererTitle Spell list for the Tinkerer class.
Stage/&IdentityMorphotypeEyeHeader	Eye Style
Stage/&SubclassSelectionStageCovenDescription	Coven
Stage/&SubclassSelectionStageCovenFeaturesDescription	Coven
Stage/&SubclassSelectionStageCovenFeaturesHeader	Coven Features
Stage/&SubclassSelectionStageCovenFeaturesTitle	Coven
Stage/&SubclassSelectionStageCovenHeader	Select a Coven
Stage/&SubclassSelectionStageCovenTitle	Coven
Stage/&SubclassSelectionStageSpecialistDescription Description There are a wide range of specialties in Tinkerers including making elixirs as a Potion Maker, making explosions as a Blaster, and wielding magical weaponry as a Weapon Smith.
Stage/&SubclassSelectionStageSpecialistFeatures Specialist Features
Stage/&SubclassSelectionStageSpecialistHeader Specializations
Stage/&SubclassSelectionStageSpecialistNoneDescription Specialist None Description
Stage/&SubclassSelectionStageSpecialistTitle Select Specialization
Subclass/&AbilityAffinityRogueConArtistDescription	Advantage on ability checks using Persuasion, Deception, Performance, and Sleight of Hand.
Subclass/&AbilityAffinityRogueConArtistTitle	Manipulative
Subclass/&ArcaneFighterAdditionalActionDescription	You can cast a spell after defeating an enemy with your weapon attacks.
Subclass/&ArcaneFighterAdditionalActionTitle	Spell Fighting
Subclass/&ArcaneFighterBonusWeaponDamageDescription	Once per turn your weapon attacks deal an extra 1d8 damage.
Subclass/&ArcaneFighterBonusWeaponDamageTitle	Magically Powered Attacks
Subclass/&ArtificerAlchemistDescription You specialize in potions, buffs, healing, and spell casting
Subclass/&ArtificerAlchemistTitle Potion Maker
Subclass/&ArtificerArtileristCannonsDescription You create a set of cannons that you can activate in battle as a bonus action
Subclass/&ArtificerArtileristCannonsTitle Cannons
Subclass/&ArtificerArtilleristDescription You specialize in hurling projectiles and causing explosions
Subclass/&ArtificerArtilleristTitle Blaster
Subclass/&ArtificerBattleSmithDescription You specialize in using magical weapons in combat
Subclass/&ArtificerBattleSmithTitle Weapon Smith
Subclass/&ArtificerSpellcastingDescription Cast Tinkerer spells
Subclass/&ArtificerSpellcastingTitle Tinkerer Spellcasting
Subclass/&AttackModifierArtificerBattleSmithWeaponDescription Your attacks count as Magical and you use your intelligence for attack and damage rolls
Subclass/&AttackModifierArtificerBattleSmithWeaponTitle Infused Weapon
Subclass/&AttackModifierArtificerBlindingWeaponDescription Touch a weapon that gains the ability to blind targets on hit (against a Constitution save). Note you can only have an infusion active once. Activating it a second time will cancel the first.
Subclass/&AttackModifierArtificerBlindingWeaponTitle Blinding Weapon
Subclass/&AttackModifierArtificerEnhancedArmorDescription Touch Armor and it becomes magical and provides +1 AC. Note you can only have an infusion active once. Activating it a second time will cancel the first.
Subclass/&AttackModifierArtificerEnhancedArmorTitle Enhanced Armor
Subclass/&AttackModifierArtificerEnhancedFocusDescription Touch a Focus and it becomes magical and gains +1 to attack and spell dc. Note you can only have an infusion active once. Activating it a second time will cancel the first.
Subclass/&AttackModifierArtificerEnhancedFocusTitle Enhanced Focus
Subclass/&AttackModifierArtificerEnhancedWeaponDescription Touch a weapon and it becomes magical and gains +1 to attack and damage rolls. Note you can only have an infusion active once. Activating it a second time will cancel the first.
Subclass/&AttackModifierArtificerEnhancedWeaponTitle Enhanced Weapon
Subclass/&AttackModifierArtificerImprovedEnhancedArmorDescription Touch Armor and it becomes magical and provides +2 AC. Note you can only have an infusion active once. Activating it a second time will cancel the first.
Subclass/&AttackModifierArtificerImprovedEnhancedArmorTitle Improved Enhanced Armor
Subclass/&AttackModifierArtificerImprovedEnhancedFocusDescription Touch a Focus and it becomes magical and gains +2 to attack and spell dc. Note you can only have an infusion active once. Activating it a second time will cancel the first.
Subclass/&AttackModifierArtificerImprovedEnhancedFocusTitle Improved Enhanced Focus
Subclass/&AttackModifierArtificerImprovedEnhancedWeaponDescription Touch a weapon and it becomes magical and gains +2 to attack and damage rolls. Note you can only have an infusion active once. Activating it a second time will cancel the first.
Subclass/&AttackModifierArtificerImprovedEnhancedWeaponTitle Improved Enhanced Weapon
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponDescription You infuse your weapon with power. Your attacks count as Magical and you add +7 to your attack and damage rolls.
Subclass/&AttackModifierImprovedArtificerBattleSmithWeaponTitle Improved Infuse Weapon
Subclass/&AttackModifierMeleeWizardArcaneWeaponDescription	When active on a weapon, it's attacks count as Magical and you use your intelligence for your attack and damage rolls.
Subclass/&AttackModifierMeleeWizardArcaneWeaponTitle	Arcane Weapon
Subclass/&AttributeModifierArtificerBattleSmithExtraAttackDescription You gain an extra attack
Subclass/&AttributeModifierArtificerBattleSmithExtraAttackTitle Extra Attack
Subclass/&AttributeModifierMeleeWizardExtraAttackDescription	You gain an extra attack
Subclass/&AttributeModifierMeleeWizardExtraAttackTitle	Extra Attack
Subclass/&BarbarianPathOfTheLightDescription	Barbarians who follow the Path of the Light illuminate the darkness and protect their allies from dangers that lurk within it.
Subclass/&BarbarianPathOfTheLightEyesOfTruthDescription	You are always under the effects of a See Invisibility spell.
Subclass/&BarbarianPathOfTheLightEyesOfTruthTitle	Eyes of Truth
Subclass/&BarbarianPathOfTheLightIlluminatedConditionDescription	Distracted by Illuminating Strike.
Subclass/&BarbarianPathOfTheLightIlluminatedConditionTitle	Illuminated
Subclass/&BarbarianPathOfTheLightIlluminatedDisadvantageDescription	Disadvantage on any attack roll that isn't against the Path of the Light barbarian.
Subclass/&BarbarianPathOfTheLightIlluminatedPreventInvisibilityDescription	Cannot become invisible.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstDescription	On the turn that you enter your rage, you can choose to illuminate up to three enemies within 30 feet of you. They must succeed on a Constitution saving throw (DC equal to 8 + your proficiency bonus + your Constitution modifier) or take 4d6 radiant damage and be illuminated by your Illuminating Strike for 1 minute. A creature illuminated in this way makes another Constitution saving throw at the end of each of its turns. On a successful save, the effect ends for it.
Subclass/&BarbarianPathOfTheLightIlluminatingBurstPowerDescription	Up to three enemies take 4d6 radiant damage and become illuminated by your Illuminating Strike. (Constitution saving throw negates.)
Subclass/&BarbarianPathOfTheLightIlluminatingBurstPowerTitle	Illuminating Burst
Subclass/&BarbarianPathOfTheLightIlluminatingBurstTitle	Illuminating Burst
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeDescription	While you're raging, the first creature you hit with an attack on your turn takes an additional 1d6 radiant damage and becomes magically illuminated until the start of your next turn. Additionally, the creature has disadvantage on any attack roll that isn't against you and cannot become invisible.
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeImprovementDescription	The additional damage dealt by Illuminating Strike increases to 2d6.
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeImprovementTitle	Illuminating Strike Improvement
Subclass/&BarbarianPathOfTheLightIlluminatingStrikeTitle	Illuminating Strike
Subclass/&BarbarianPathOfTheLightLightsProtectionDescription	You regain hit points equal to half your barbarian level when a hostile creature affected by your Illuminating Strike dies. Additionally, you no longer provoke opportunity attacks from creatures affected by your Illuminating Strike.
Subclass/&BarbarianPathOfTheLightLightsProtectionTitle	Light's Protection
Subclass/&BarbarianPathOfTheLightPierceTheDarknessDescription	You gain superior darkvision.
Subclass/&BarbarianPathOfTheLightPierceTheDarknessTitle	Pierce the Darkness
Subclass/&BarbarianPathOfTheLightSeeingInvisibleConditionDescription	Can perceive invisible creatures.
Subclass/&BarbarianPathOfTheLightSeeingInvisibleConditionTitle	Invisibility Sight
Subclass/&BarbarianPathOfTheLightTitle	Path of the Light
Subclass/&BloodWitchDescription	Forbidden by most witch covens, blood magic centers on the use of dark spells and mortal hexes that draw from the spellcaster's very essence. It is fundamentally more perilous than other witch crafts, but its many risks come with copious rewards.
Subclass/&BloodWitchMagicDescription	You gain the following spells. These spells count as Witch spells for you and don't count against your total number of spells known. \n\nLevel	Spells\n1st	Entangle, Goodberry\n2nd	Barkskin, Protection from Poison\n3rd	Conjure Animals, Create Food\n4th	Giant Insect, Stoneskin\n5th	Dispel Evil and Good, Insect Plague
Subclass/&BloodWitchMagicTitle	Blood Magic
Subclass/&BloodWitchTitle	Blood Witch
Subclass/&CancelCancelElixirFlyDescription End the Fly condition from the Potion Maker Elixir.
Subclass/&CancelCancelElixirFlyTitle Cancel Fly
Subclass/&CancelCancelElixirResilienceDescription End the Resilience condition from the Potion Maker Elixir.
Subclass/&CancelCancelElixirResilienceTitle Cancel Resilience
Subclass/&CancelCancelElixirSwiftnessDescription End the Swiftness condition from the Potion Maker Elixir.
Subclass/&CancelCancelElixirSwiftnessTitle Cancel Swiftness
Subclass/&ConditionResistantArmorTitle Resistant Armor
Subclass/&ConditionResistnatArmorDescription Your armor is resistant to acid, cold, fire, force, lightning, necrotic, poison, psychic, radiant, and thunder damage
Subclass/&ConditionSpellShieldArcaneDeflectionDescription	You can use your arcane powers to shield yourself as a reaction. This gives you +{0} to your AC until your next turn.
Subclass/&ConditionSpellShieldArcaneDeflectionTitle	Arcane Deflection
Subclass/&ConditionTransmuteConstitutionSaveDescription	Temporary Constitution save proficiency granted by the Transmute Force power.
Subclass/&ConditionTransmuteConstitutionSaveTitle	Constitution Saves
Subclass/&ConditionTransmutePoisonDescription	Temporary Acid, Cold, Fire, Lightning, Necrotic, Thunder, and Poison Resistance granted by the Transmute Force power.
Subclass/&ConditionTransmutePoisonTitle	Elemental Resistance
Subclass/&CraftingTinkererMagicItemAdeptDescription You are adept at crafting magic items. It takes you 1/4 the time to craft items and you apply double your proficiency bonus when crafting.
Subclass/&CraftingTinkererMagicItemAdeptTitle Magic Item Adept
Subclass/&DruidForestGuardianDruidSubclassDescription	Circle of the Forest Guardian Druids are sworn to protect the forests and all that dwell within them. Skilled in the use of Abjuration magic and martial combat, members of this druidic circle are fearsome opponents on the battlefield.
Subclass/&DruidForestGuardianSubclassTitle	Circle of the Forest Guardian
Subclass/&EquipmentModifierArtificerBagOfHolderDescription Touch an bag and infuse an extra dimmensional space to help it hold more weight without encumbering you. Note you can only have an infusion active once. Activating it a second time will cancel the first.
Subclass/&EquipmentModifierArtificerBagOfHolderTitle Bag of Holding
Subclass/&FighterRoyalKnightDescription	A knight who inspires greatness in others by committing brave deeds in battle. A lone knight is a skilled warrior, but one leading a band of allies can transform even the most poorly equipped militia into a ferocious war band.
Subclass/&FighterRoyalKnightTitle	Royal Knight
Subclass/&FighterSpellShieldDescription	Spell Shields are fighters that specialize in defense and protection. They use magic to aid their natural abilities.
Subclass/&FighterSpellShieldSpellcastingDescription	Cast wizard spells and cantrips from the Abjuration, Illusion, Transmutation, and Necromancy schools.
Subclass/&FighterSpellShieldSpellcastingTitle	Spellcasting
Subclass/&FighterSpellShieldSpellResistanceDescription	Your experience with spells and Abjuration magic in particular has made you resistant to spells cast against you.
Subclass/&FighterSpellShieldSpellResistanceTitle	Spell Resistance
Subclass/&FighterSpellShieldTitle	Spell Shield
Subclass/&GreenWitchDescription	Plants, nature, and things that grow are the domain of green magic. Normally a type of arcana championed by druids, some witches have a close tie to the powers of green magic, and can coax plants and animals into their bidding.
Subclass/&GreenWitchMagicDescription	You gain the following spells. These spells count as Witch spells for you and don't count against your total number of spells known. \n\nLevel	Spells\n1st	Entangle, Goodberry\n2nd	Barkskin, Protection from Poison\n3rd	Conjure Animals, Create Food\n4th	Giant Insect, Stoneskin\n5th	Dispel Evil and Good, Insect Plague
Subclass/&GreenWitchMagicTitle	Green Magic
Subclass/&GreenWitchTitle	Green Witch
Subclass/&HealingPoolArtificerBattleSmithInfusionsIncreaseDescription You can now infuse two additional items each day, this is intended to be use for your special Weapon Smith weapon
Subclass/&HealingPoolArtificerBattleSmithInfusionsIncreaseTitle Weapon Smith Weapon Infusion
Subclass/&HealingPoolArtificerInfusionsDescription 2 times per day infuse items with magical effects
Subclass/&HealingPoolArtificerInfusionsIncreaseDescription You can now infuse one additional item each day
Subclass/&HealingPoolArtificerInfusionsIncreaseTitle More Infusions
Subclass/&HealingPoolArtificerInfusionsTitle Infusions
Subclass/&HealingPoolLifeTransmuterBonusDescription	2 additional times per day you can force your will on reality.
Subclass/&HealingPoolLifeTransmuterBonusExtraDescription	4 additional times per day you can force your will on reality.
Subclass/&HealingPoolLifeTransmuterBonusExtraTitle	Additional Transmute Force
Subclass/&HealingPoolLifeTransmuterBonusTitle	Additional Transmute Force
Subclass/&HealingPoolLifeTransmuterListDescription	2 times per day enact your will on reality with special abilities.
Subclass/&HealingPoolLifeTransmuterListTitle	Transmute Force
Subclass/&KSRogueSubclassThugDescription	Thugs are sharp-minded combattants who seek the thrill of the fight and will make their enemies bite the dust by any means necessary. They benefit from an advanced martial training and learn to make use of their wit and brawn alike to triumph in battle.
Subclass/&KSRogueSubclassThugTitle	Thug
Subclass/&MagicAffinityAlchemicalSavantListDescription When casting Acid Arrow and Flaming Sphere they behave as if cast 2 levels higher. Your cantrips are also boosted so even when the enemy saves they still take half damage
Subclass/&MagicAffinityAlchemicalSavantListTitle Elixir Savant Spells
Subclass/&MagicAffinityAlchemistSpellRecoveryDescription You can recover spell slots during a short rest twice per day
Subclass/&MagicAffinityAlchemistSpellRecoveryTitle Alchemical Preparation
Subclass/&MagicAffinityFighterSpellShieldDescription	Advantage on concentration checks as well as the ability to perform somatic components of spells while holding items.
Subclass/&MagicAffinityFighterSpellShieldTitle	Combat Casting
Subclass/&MagicAffinityLifeTransmuterListDescription	When casting some Transmutation and Necromancy spells they are cast at a spell slot 2 levels higher than the one used. Improved spells include: False Life, Blindness, Fly, Bestow Curse, Vampiric Touch, Blight, and Cloud Kill. -- Note Intention is to have Magic Weapon benefit as well, but currently increasing the spell level this way on Magic Weapon has no effect.
Subclass/&MagicAffinityLifeTransmuterListTitle	Reality Bending
Subclass/&MagicAffinityMasterManipulatorDC0Description	It is harder for opponents to resist your spells. The save DC increases by 0.
Subclass/&MagicAffinityMasterManipulatorDC1Description	It is harder for opponents to resist your spells. The save DC increases by 1.
Subclass/&MagicAffinityMasterManipulatorDC2Description	It is harder for opponents to resist your spells. The save DC increases by 2.
Subclass/&MagicAffinityMasterManipulatorDC3Description	It is harder for opponents to resist your spells. The save DC increases by 3.
Subclass/&MagicAffinityMasterManipulatorDC4Description	It is harder for opponents to resist your spells. The save DC increases by 4.
Subclass/&MagicAffinityMasterManipulatorDC5Description	It is harder for opponents to resist your spells. The save DC increases by 5.
Subclass/&MagicAffinityMasterManipulatorDCDescription	It is harder for opponents to resist your spells. The save DC increases by 3.
Subclass/&MagicAffinityMasterManipulatorDCTitle	Arcane Force
Subclass/&MagicAffinityMasterManipulatorListDescription	When casting some Enchantment, Abjuration, and Illusion spells they are cast at a spell slot 1 level higher than the one used. Improved spells include: Charm Person, Sleep, Color Spray, Hold Person, Invisibility, Counterspell, Dispel Magic, Banishment, Confusion, Phantasmal Killer, Dominate Person, and Hold Monster.
Subclass/&MagicAffinityMasterManipulatorListTitle	Arcane Manipulation
Subclass/&MagicAffinityMeleeWizardConcentrationDescription	Due to experience in the chaos of combat, gain advantage on concentration checks.
Subclass/&MagicAffinityMeleeWizardConcentrationTitle	Improved Concentration
Subclass/&MagicAffinityRoguishConArtistDC0Description	Your spell save DC increases by 0.
Subclass/&MagicAffinityRoguishConArtistDC1Description	Your spell save DC increases by 1.
Subclass/&MagicAffinityRoguishConArtistDC2Description	Your spell save DC increases by 2.
Subclass/&MagicAffinityRoguishConArtistDC3Description	Your spell save DC increases by 3.
Subclass/&MagicAffinityRoguishConArtistDC4Description	Your spell save DC increases by 4.
Subclass/&MagicAffinityRoguishConArtistDC5Description	Your spell save DC increases by 5.
Subclass/&MagicAffinityRoguishConArtistDCTitle	Improved Manipulation
Subclass/&MagicAffinitySpellMasterBonusScribingDescription	Scribe an additional spell at each level up.
Subclass/&MagicAffinitySpellMasterBonusScribingTitle	Breadth of Knowledge
Subclass/&MagicAffinitySpellMasterRecoveryDescription	Once per long rest you can recover spell slots (in addition to Arcane Recovery).
Subclass/&MagicAffinitySpellMasterRecoveryTitle	Arcane Depth
Subclass/&MagicAffinitySpellMasterRecoveryUnlimitedDescription	Unlimited times you can recover spell slots (in addition to Arcane Recovery).
Subclass/&MagicAffinitySpellMasterRecoveryUnlimitedTitle	Arcane Depth
Subclass/&MagicAffinitySpellMasterScribingDescription	Scribing spells takes 1/4 the time and cost, and you have advantage.
Subclass/&MagicAffinitySpellMasterScribingTitle	Master Scriber
Subclass/&ManipulatorMentalSavingThrowsDescription	Gain proficiency in saving throws with Constitution and Charisma.
Subclass/&ManipulatorMentalSavingThrowsTitle	Mental Resistance
Subclass/&PowerArtificerBattleSmithImprovedInfuseWeaponDescription You infuse your weapon with power. Your attacks count as Magical and you add your +7 to your attack and damage rolls. Note you can only have an infusion active once. Activating it a second time will cancel the first.
Subclass/&PowerArtificerBattleSmithImprovedInfuseWeaponTitle Improved Infuse Weapon
Subclass/&PowerArtificerBattleSmithInfuseWeaponDescription You infuse your weapon with power. Your attacks count as Magical and you use your intelligence for attack and damage rolls until the next long rest
Subclass/&PowerArtificerBattleSmithInfuseWeaponTitle Infuse Weapon
Subclass/&PowerInfuseArmorMagicalStrengthDescription Infuse armor with magical strength. You gain advantage on strength ability checks and saving throws. Note you can only have an infusion active once. Activating it a second time will cancel the first.
Subclass/&PowerInfuseArmorMagicalStrengthTitle Armor of Magical Strength
Subclass/&PowerInfuseDarkvisionDescription Infuse the ability to see in the dark into a pair of goggles. Note you can only have an infusion active once. Activating it a second time will cancel the first. Note you can only have an infusion active once. Activating it a second time will cancel the first.
Subclass/&PowerInfuseDarkvisionTitle Goggles of Night
Subclass/&PowerInfuseMindSharpenerDescription Infuse an armor or robe with the ability to aid your spell casting concentration. You gain advantage on concentration checks and any damage less than 20 doesn't trigger a check. Note you can only have an infusion active once. Activating it a second time will cancel the first.
Subclass/&PowerInfuseMindSharpenerTitle Mind Sharpener
Subclass/&PowerInfuseResistantArmorDescription Infuse damage resistance into your armor. It becomes resistant to acid, cold, fire, force, lightning, necrotic, poison, psychic, radiant, and thunder damage. Note you can only have an infusion active once. Activating it a second time will cancel the first.
Subclass/&PowerInfuseResistantArmorTitle Resistant Armor
